;FILTRO ALMACÉN;;DISPONIBILIDAD;;;;VALORIZACIÓN STOCK;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Cantidad de items MM;Cantidad disponible;% disponible;;RUBRO; Valor libre utilización;% del total;% acumulado;;;;;;;;;;;;;;;
;;;782;751;96 %;;COMBUSTIBLE;$ 508.994.916,28;46,37%;46,37%;;99;183;1;67;90;25;;;;;;;;
;;;;;;;REPUESTOS;$ 169.464.255,15;15,44%;61,81%;;96;782;31;159;411;181;;;;;;;;
;;;;;;;DESGASTE;$ 114.720.020,94;10,45%;72,27%;;;;;;;;;;;;;;;
;;;ESTADOS;;;;FILTROS;$ 100.414.859,18;9,15%;81,41%;;;;;;;;;;;;;;;
;;;;;;;LUBRICANTES;$ 99.174.571,84;9,04%;90,45%;;;;;;;;;;;;;;;
;;;ESTADO;Cantidad de materiales ;% del total ;;CUBIERTAS;$ 54.864.205,22;5,00%;95,45%;;;;;;;;;;;;;;;
;;;01-STOCK NULO;31;3,96%;;;$ 31.361.395,57;2,86%;98,31%;;;;;;;;;;;;;;;
;;;02-MENOR A PUNTO DE PEDIDO;159;20,33%;;SEGURIDAD;$ 6.289.071,15;0,57%;98,88%;;;;;;;;;;;;;;;
;;;03-MAYOR A PUNTO DE PEDIDO;411;52,56%;;EQUIPOS;$ 3.223.366,27;0,29%;99,17%;;;;;;;;;;;;;;;
;;;04-MAYOR A STOCK MAXIMO;181;23,15%;;ROPA;$ 2.818.114,30;0,26%;99,43%;;;;;;;;;;;;;;;
;;;Total general;782;100,00%;;FERRETERIA;$ 1.496.412,78;0,14%;99,57%;;;;;;;;;;;;;;;
;;;;;;;CORREAS;$ 1.339.346,78;0,12%;99,69%;;;;;;;;;;;;;;;
;;;Referencias para planilla Base MM (columna Id Estado);;;;LIBRERIA;$ 1.223.569,43;0,11%;99,80%;;;;;;;;;;;;;;;
;;;1;STOCK NULO;;;LIMPIEZA;$ 1.119.688,66;0,10%;99,90%;;;;;;;;;;;;;;;
;;;2;MENOR A PUNTO DE PEDIDO;;;INSUMOS;$ 520.601,83;0,05%;99,95%;;;;;;;;;;;;;;;
;;;3;MAYOR O IGUAL A PUNTO DE PEDIDO;;;SOLDADURA;$ 419.211,98;0,04%;99,99%;;;;;;;;;;;;;;;
;;;4;MAYOR A STOCK MAXIMO;;;OBSOLETO;$ 148.012,63;0,01%;100,00%;;;;;;;;;;;;;;;
;;;;;;;Total general;$ 1.097.591.619,99;100,00%;;;;;;;;;;;;;;;;
;;;Fecha ultima actualizacion:;;13/7/2026;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
