Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00223 Comp Amb Santa Fe;1001744;ZSTO;BOTA GOMA P.ACERO N 40;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001745;ZSTO;BOTA GOMA P.ACERO N 41;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001747;ZSTO;BOTA GOMA P.ACERO N 43;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001748;ZSTO;BOTA GOMA P.ACERO N 44;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001756;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 40;CONWORK // BORIS // VORAN // CALZADOS A // // //;53BAF // 3305 T40 // CRONOS N T40 // ESCORPIO PRUS 1050 T40 // RINGO MOD BOLT TALLE 40 // RINGO-MOD PUNCH TALLE 40 // SKIWAY MOD. 3243 T40;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001757;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 41;CONWORK // BORIS // VORAN // CALZADOS A // // //;53BAF // 3305 T41 // CRONOS N T41 // ESCORPIO PRUS 1050 T41 // RINGO MOD BOLT TALLE 41 // RINGO-MOD PUNCH TALLE 41 // SKIWAY MOD. 3243 T41;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;1000095212;SIN TRATAMIENTO;;;;;9/10/2026;10/9/2026;;
00341 Mov. Suelos San Luis;1013571;ZSSD;GASOIL DIESEL 500;;MÚLT. 36000 LTS;MM01;35;V1;12000;24000;C21;COMBUSTIBLE;COMBUSTIBLE;COMBUSTIBLE;KG;ZPAN;1000087941;RECEPCIONADO PARCIAL;4500128002;8/9/2026;;;28/9/2026;7/5/2026;C21;10149510
00223 Comp Amb Santa Fe;1001760;ZSTO;BOTINMARRON/NEGRO FLOR P.ACERO N 44;CONWORK // BORIS // VORAN // CALZADOS A // //;53BAF // 3305 T44 // CRONOS N T44 // ESCORPIO PRUS 1050 T44 // RINGO MOD BOLT TALLE 44 // RINGO-MOD PUNCH TALLE 44;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;ZPAS;1000095212;EMBALADO;;;11/9/2026;;9/10/2026;10/9/2026;;
00223 Comp Amb Santa Fe;1001767;ZSTO;ZAPATILLA P.ACERO N 43;FUNCIONAL // CONWORK // VORAN;LANDERBROWN // 655ZA N43 // ENERGY N43;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001791;ZSTO;ACEITE SAE 30 X 205L;YPF S.A. // YPF S.A. // YPF S.A.;151692 // FT SUPER 30 TR;MR01;223;V1;1;2;L01;ACEITES;LUBRICANTES;ACEITES;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001794;ZSTO;ACEITE HIPOIDAL X 205L;YPF S.A. // YPF S.A.;80W90 // 123092;MR01;223;V1;1;2;L01;ACEITES;LUBRICANTES;ACEITES;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001801;ZSTO;ACEITE 80W X 205L;M-LUBE;GXA;MR01;223;V1;1;2;L01;ACEITES;LUBRICANTES;ACEITES;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001804;ZSTO;GRASA LITIO LIMIT MO-2 (NEGRA) X 180 KG;YPF S.A. // YPF S.A. //;LIMIT MO-2 // 628793 // GADUS S2 V220;MR01;223;V1;1;2;L03;GRASAS;LUBRICANTES;GRASA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001805;ZSTO;GRASA PARA RODAMIENTO X1KG;SKF // SHELL PLC. //;LGWA2MA // GADAUS S2 V220 2 // MOBILGREASE MP;MR01;223;V1;1;2;L03;GRASAS;LUBRICANTES;GRASA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001823;ZSTO;ACEITE F50 5W40 X 20 L;ELAION // YPF S.A. // ELAION;F50 5W40 // 151792 // FS540;MR01;223;V1;1;2;L01;ACEITES;LUBRICANTES;AMAROK-HILUX;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1001841;ZSTO;CAMARA 12.00 R20;;MARCA DONGAH // MARCA PIRELLI;MR01;223;V1;4;9;C52;CAMARAS;CUBIERTAS;CUBIERTAS;KG;ZPAS;1000095212;SIN TRATAMIENTO;;;;;9/10/2026;10/9/2026;;
00223 Comp Amb Santa Fe;1001842;ZSTO;PROTECTOR P CAMARA 12.00;;;MR01;223;V1;4;9;C52;CAMARAS;CUBIERTAS;CUBIERTAS;KG;ZPAS;1000094543;SIN TRATAMIENTO;;;;;22/9/2026;28/8/2026;;
00223 Comp Amb Santa Fe;1001949;ZSTO;CANDADO 30MM XUN;;;MR01;223;V1;2;5;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002009;ZSTO;CAMISA JEAN T.56 C LOGO;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002017;ZSTO;PANTALON JEAN T.50;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002018;ZSTO;PANTALON JEAN T.52;;;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002022;ZSTO;PANTALON JEAN T.60;;;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002046;ZSTO;CAMISETA PRIMERA PIEL T.XL;;;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002086;ZSTO;TRAJE DE LLUVIA T.L;;;MR01;223;V1;2;3;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002087;ZSTO;TRAJE DE LLUVIA T.XL;;;MR01;223;V1;2;5;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002090;ZSTO;CAPA DE LLUVIA T.XL;;;MR01;223;V1;1;2;C28;SEGURIDAD/ROPA/EPP;ROPA;INDUMENTARIA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002515;ZSTO;FILTRO ACEITE XUN;JOHN DEERE // JOHN DEERE //;RE521420 // DZ101884 // DZ118283;MR01;223;V1;1;2;F03;FILTRO ACEITE;FILTROS;JD 850J;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002529;ZSTO;FILTRO HIDRAULICO DE RETORNO XUN;JOHN DEERE // JOHN DEERE;AT335977 // AT545968;MR01;223;V1;2;3;F07;FILTRO FLUIDO HIDR;FILTROS;JD 544K;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002541;ZSTO;FILTRO DE LINEA XUN;JOHN DEERE;AT101565;MR01;223;V1;1;2;F04;FILTRO AIRE;FILTROS;JOHN DEERE;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002546;ZSTO;FILTRO HIDRAULICO;JOHN DEERE //;AT308274 // AT367840;MR01;223;V1;1;2;F04;FILTRO AIRE;FILTROS;FILTROS;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002547;ZSTO;FILTRO HIDRAULICO X UN;CATERPILLA // CATERPILLA;1262081 // 1799806;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;CAT 336 DLME, 390;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002566;ZSTO;FILTRO LINEA COMBUSTIBLE;FLEETGUARD // FLEETGUARD // FLEETGUARD // FLEETGUARD // DONALDSON //;FF5079 // 4080720 // FF5006 // FS5288 // P550090 // P550974;MR01;223;V1;2;3;F07;FILTRO FLUIDO HIDR;FILTROS;FILTROS;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002569;ZSTO;FILTRO RESPIRADERO TANQUE HIDRAULICO XUN;JOHN DEERE;AM39653;MR01;223;V1;2;3;F04;FILTRO AIRE;FILTROS;JD 544K;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002606;ZSTO;FILTRO COMBUSTIBLE X UN;JOHN DEERE;AT365869;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;JD 850J;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002607;ZSTO;FILTRO RETORNO ACEITE HIDRAULICO;JOHN DEERE;T175002;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;JD 850J;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002608;ZSTO;FILTRO HIDRAULICO XUN;JOHN DEERE;AT318160;MR01;223;V1;2;3;F07;FILTRO FLUIDO HIDR;FILTROS;JD 850J;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002612;ZSTO;FILTRO AIRE JOHN DEERE;JOHN DEERE // No aplica // JOHN DEERE;AL177184 // 119095 // AL225552;MR01;223;V1;2;3;F04;FILTRO AIRE;FILTROS;JD 6615;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002705;ZSTO;FILTRO AIRE XUN;CATERPILLA;6I2502;MR01;223;V1;1;2;F04;FILTRO AIRE;FILTROS;FILTROS;KG;ZPAS;1000095532;EMBALADO;;;16/9/2026;;9/10/2026;15/9/2026;;
00223 Comp Amb Santa Fe;1002727;ZSTO;FILTRO AIRE CABINA XUN;KOMATSU HO // DONALDSON;17M9113530 // P500138;MR01;223;V1;1;2;F05;FILTRO AIRE CABINA;FILTROS;KMS 155AX6;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002738;ZSTO;Filtro Aceite Motor;FLEETGUARD // DONALDSON;LF3345 // P558616;MR01;223;RE;2;2;F03;FILTRO ACEITE;FILTROS;ONAN 40DGCA;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002740;ZSTO;FILTRO HIDRAULICO;CATERPILLA;937521;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;CAT 330;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002746;ZSTO;UNIDAD SELLO FILTRO HIDRAULICO;CATERPILLA;5I8670;MR01;223;V1;1;2;C29;FILTROS/RESPUESTOS;FILTROS;CAT 330;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002766;ZSTO;FILTRO COMBUSTIBLE;KOMATSU HO // //;4216035170 // AF4167 // P502574;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;WA600;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002807;ZSTO;FILTRO;MANN // MANN;V733S // CF 600;MR01;223;RE;2;2;C29;FILTROS/RESPUESTOS;FILTROS;GRUPO ELECTROGENO ONAN 40-DG;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002832;ZSTO;FILTRO COMBUSTIBLE;FLEETGUARD // FLEETGUARD // DONALDSON // MANN //;2RK127177A // FF5052 // P553004 // WK723 // DB0519;MR01;223;V1;2;3;F06;FILTRO COMBUSTIBLE;FILTROS;VW 26260 - ONAN;KG;SIN PEDIDO;;;;;;;;;;
00341 Mov. Suelos San Luis;1002408;ZSTO;SEGMENTOS DE CORTE CENTRAL;CATERPILLA;1324715;MM01;35;V1;4;7;G04;UÑAS;DESGASTE;CAT 950;KG;ZPAS;1000093810;CUMPLIDO PARCIAL;;;19/8/2026;20/8/2026;7/9/2026;15/8/2026;;
00223 Comp Amb Santa Fe;1002838;ZSTO;FILTRO ACEITE;TOYOTA ARG // TOYOTA ARG;909152000300 // 90915YZZD2;MR01;223;V1;2;3;F03;FILTRO ACEITE;FILTROS;PARA HILUX;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002873;ZSTO;FILTRO DE AIRE;DARMET;V733;MR01;223;RE;2;2;F04;FILTRO AIRE;FILTROS;GRUPO ELECTROGENO ONAN 40-DG;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002889;ZSTO;FILTRO COMBUSTIBLE;BOMAG GMBH // HIFI FILTE;5717961 // SN909110;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;BOMAG;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002901;ZSTO;FILTRO ACEITE;FLEETGUARD // DONALDSON // KOMATSU HO;LF9009 // P553000 // 6742014540;MR01;223;V1;1;2;F03;FILTRO ACEITE;FILTROS;VW 31-320 - 19360;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002908;ZSTO;FILTRO TRANSIMISION HIDRAULICO XUN;JOHN DEERE;AT367635;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;JD 524;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1002923;ZSTO;FILTRO COMBUSTIBLE;BOMAG GMBH // DONALDSON;5716779 // P554620;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;BW24RH;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003026;ZSTO;FILTRO SEPARADOR DE AGUA;FLEETGUARD // FLEETGUARD // DONALDSON;FS19652 // FS1280 // P551329;MR01;223;V1;1;2;F13;FILTRO TRAMPA DE A;FILTROS;ONAN C66D5;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003057;ZSTO;ELEMENTO FILTRO DE AIRE PRIMARIO;JOHN DEERE;AT175223;MR01;223;V1;1;2;F04;FILTRO AIRE;FILTROS;MOTONIVELADORA JD 770 G;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003058;ZSTO;KIT FILTRO COMBUSTIBLE COMPLETO;JOHN DEERE // JOHN DEERE;RE525523 // RE52090652323;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;MOTONIVELADORA JD 770 G;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003087;ZSTO;FILTRO COMBUSTIBLE;TOYOTA ARG //;233900L07000 // 233900L100;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;HILUX 2017;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003088;ZSTO;FILTRO AIRE;TOYOTA ARG // TOYOTA ARG;178010L04000 // 178010E030;MR01;223;V1;1;2;F04;FILTRO AIRE;FILTROS;HILUX 2017;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003089;ZSTO;FILTRO DE CABINA;TOYOTA ARG;871390K080;MR01;223;V1;1;2;F05;FILTRO AIRE CABINA;FILTROS;HILUX 2017;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003094;ZSTO;FILTRO DE DRENAJE BOMBA;VOLVO CONS // No aplica //;21392404 // 7632141111 // 20580233;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;VOLVO 330 // VOLVO FM460;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003125;ZSTO;FILTRO SECADOR DE AIRE;VOLVO CONS;21620181;MR01;223;V1;1;2;F11;FILTRO SECADOR DE;FILTROS;VOLVO 330;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003126;ZSTO;FILTRO SECADO DE AIRE;VOLVO CONS // VOLVO CONS // VOLVO CONS //;21412848 // 22223804 // 23260134 // 23690622;MR01;223;V1;2;3;F11;FILTRO SECADOR DE;FILTROS;VOLVO FM460;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003138;ZSTO;FILTRO DE COMBUSTIBLE;KOMATSU HO // KOMATSU HO;6003193750 // 6003113750;MR01;223;V1;1;2;F06;FILTRO COMBUSTIBLE;FILTROS;KOMATSU PC 200-8;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003139;ZSTO;FILTRO HIDRAULICO;KOMATSU HO;2076071183;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;KOMATSU PC 200-8;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003233;ZSTO;FILTRO HIDRAULICO VENTILACION;KOMATSU HO;22B6011160;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;KOM D155 AX-6;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003246;ZSTO;FILTRO DE TANQUE HIDRAULICO;REMOLQUES // HIFI FILTE;14896990 // SH 93214;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;VOLCADORA OMBU;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003276;ZSTO;FILTRO TANQUE HIDRAULICO;PARKER // No aplica //;921999 // K22001 // P551551;MR01;223;V1;1;2;F07;FILTRO FLUIDO HIDR;FILTROS;VOLCADORA MILICIC // VOLVO 330;KG;SIN PEDIDO;;;;;;;;;;
00341 Mov. Suelos San Luis;1016098;ZSTO;FILTRO DE AIRE PRIMARIO;VOLVO MAQU;17500260;MM01;35;V1;3;5;F04;FILTRO AIRE;FILTROS;VOLVO EC 480D;KG;ZPAS;1000093971;EMBALADO;;;14/9/2026;;28/9/2026;19/8/2026;;
00223 Comp Amb Santa Fe;1003302;ZSTO;FILTRO ACEITE CAJA DE CAMBIO;VOLVO CONS // VOLVO CONS;20779040 // 24283117;MR01;223;V1;1;2;F03;FILTRO ACEITE;FILTROS;VOLVO 460 FMX;KG;SIN PEDIDO;;;;;;;;;;
00223 Comp Amb Santa Fe;1003359;ZSTO;FILTRO DE AIRE PRIMARIO;KOMATSU HO //;2A59791551 // AF55884;MR01;223;V1;1;2;F10;FILTRO HVAC;FILTROS;KOMATSU PC 200-8;KG;SIN PEDIDO;;;;;;;;;;
