Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1016960;ZSSD;RESALTADOR VERDE PUNTA CHANFLEADA;374;RE;31;31;LIBRERIA;1;;1;3,23%;29/9/2026;5;
1016976;ZSSD;MARCADOR P PIZARRA NEGRO;374;RE;20;20;LIBRERIA;1;;1;5,00%;29/9/2026;7;
1047245;ZSCD;MAZA MINERO 1KG C/ CABO PLASTICO;374;RE;10;10;FERRETERIA;1;;1;10,00%;29/9/2026;2;
1016961;ZSSD;RESALTADOR ROSA PUNTA CHANFLEADA;374;RE;31;31;LIBRERIA;5;;5;16,13%;29/9/2026;11;CONSULTAR
1016973;ZSSD;MAZA MINERO 3 KG;374;RE;6;6;FERRETERIA;1;;1;16,67%;29/9/2026;1;CONSULTAR
1017214;ZSSD;DISCO DIAMANTADO P AMOLADORA 7PG;374;RE;50;50;FERRETERIA;10;;10;20,00%;29/9/2026;10;
1001984;ZSTO;CARETA PARA SOLDADOR X UN;374;RE;5;5;SOLDADURA;1;;1;20,00%;29/9/2026;2;
1017008;ZSSD;ADHESIVO SINTETICO 50GR;374;RE;5;5;FERRETERIA;1;;1;20,00%;29/9/2026;4;
1016964;ZSSD;RESALTADOR AMARILLO PUNTA CHANFLEADA;374;RE;30;30;LIBRERIA;6;;6;20,00%;29/9/2026;2;
1027149;ZSSD;DISCO FLAP TYROLIT 115x22 GRANO 80;374;RE;45;45;FERRETERIA;11;;11;24,44%;29/9/2026;7;
1017084;ZSSD;CEPILLO ACERO 4X19 C MANGO MADERA;374;RE;16;16;LIMPIEZA;4;;4;25,00%;29/9/2026;2;
1016962;ZSSD;RESALTADOR NARANJA PUNTA CHANFLEADA;374;RE;30;30;LIBRERIA;8;;8;26,67%;29/9/2026;7;
1016928;ZSSD;FRATACHO PLASTICO C GOMA ESPUMA 30CM;374;RE;22;22;FERRETERIA;7;;7;31,82%;29/9/2026;#N/D;
1001958;ZSTO;CINTA TEFLON 1/2 X 20MT;374;RE;6;6;FERRETERIA;2;;2;33,33%;29/9/2026;3;
1015855;ZSSD;PRECINTO PLASTICO AL-5 X 300MM;374;RE;15;15;FERRETERIA;5;;5;33,33%;29/9/2026;1;
1002006;ZSTO;CAMISA JEAN T.50 C LOGO;374;RE;15;15;ROPA;5;;5;33,33%;29/9/2026;2;
1026272;ZSCD;DELANTAL KEVLAR C TRIPLE PROT ABDOMINAL;374;RE;20;20;INDUMENTARIA;7;;7;35,00%;29/9/2026;3;
1017022;ZSSD;CUADERNO ESPIRAL CUAD A4 T.SEMIDURA 80HJ;374;RE;16;16;LIBRERIA;6;;6;37,50%;29/9/2026;2;
1001702;ZSTO;GUANTE SOLDADOR COSTURA KEVLAR;374;RE;21;21;SEGURIDAD;8;;8;38,10%;29/9/2026;8;
