Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;Columna1
1015845;ZSSD;USAR 1026806;378;RE;21;21;FERRETERIA;;;0;0,00%;#N/D
1015783;ZSSD;CINTA REFLECTIVA ROJA X MTS;378;RE;35;35;SEGURIDAD;11;;11;31,43%;#N/D
1001931;ZSTO;DISCO LIJA ESMERIL 178x22 GRANO 36;378;RE;200;200;FERRETERIA;120;;120;60,00%;180
1001963;ZSTO;CINTA AISLADORA VERDE X10MT;378;RE;7;7;FERRETERIA;5;;5;71,43%;7
1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;378;RE;85;85;SEGURIDAD;61;;61;71,76%;75
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;378;RE;12;12;LIMPIEZA;1;8;9;75,00%;1
1001777;ZSTO;ESLINGA SINTETICA 6MTS 4TN CERTIFICADA;378;RE;8;8;SEGURIDAD;4;2;6;75,00%;4
1001929;ZSTO;DISCO 178X4,8X22,23TYROLIT OASECUR XUN;378;RE;80;80;FERRETERIA;32;29;61;76,25%;25
1015866;ZSSD;TRAPO DE PISO X UN;378;RE;23;23;LIMPIEZA;18;;18;78,26%;#N/D
1001778;ZSTO;YERBA MATE X 500GRS X UN;378;RE;79;79;ALIMENTOS;62;;62;78,48%;#N/D
1017055;ZSSD;ZAPATILLA ELECTRICA 6 TOMAS C CABLE 3M;378;RE;10;10;ELECTRICIDAD;8;;8;80,00%;4
1017005;ZSSD;CADENA PLASTICA ROJA Y BLANCA X ML;378;RE;250;250;SEGURIDAD;200;;200;80,00%;100
1001748;ZSTO;BOTA GOMA P.ACERO N 44;378;RE;10;10;SEGURIDAD;8;;8;80,00%;8
1002071;ZSTO;CAMPERA DESCARNE T.XXXL;378;RE;13;13;SEGURIDAD;11;;11;84,62%;14
1001895;ZSTO;ALCOHOL LIQUIDO X LITRO;378;RE;14;14;LIMPIEZA;12;;12;85,71%;#N/D
1001876;ZSTO;CINTA EMBALAR TRANSPARENTE 48MM X 100 MT;378;RE;30;30;LIBRERIA;26;;26;86,67%;28
1001744;ZSTO;BOTA GOMA P.ACERO N 40;378;RE;8;8;SEGURIDAD;7;;7;87,50%;7
1001682;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GR.XL;378;RE;129;129;SEGURIDAD;56;57;113;87,60%;76
1046627;ZSTO;AEROSOL DESINFECTANTE ANTIBACT. 360 ML;378;RE;35;35;LIMPIEZA;31;;31;88,57%;#N/D
1001903;ZSTO;LAVANDINA X 5 LTS;378;RE;18;18;LIMPIEZA;15;1;16;88,89%;#N/D
1001746;ZSTO;BOTA GOMA P.ACERO N 42;378;RE;20;20;SEGURIDAD;18;;18;90,00%;12
1001867;ZSTO;MARCADOR INDUSTRIAL-BLANCOXUN;378;RE;42;42;LIBRERIA;38;;38;90,48%;20
1002090;ZSTO;CAPA DE LLUVIA T.XL;378;RE;11;11;ROPA;10;;10;90,91%;#N/D
1001893;ZSTO;BOLSARESIDUPLASTICA60X90NEGRAXROLLOX10UN;378;RE;150;150;LIMPIEZA;137;;137;91,33%;41
